id,question,gold_sentence,distractor_sentence,framed_answer_shown_to_judge,YOUR_label: is framed_answer a SUBSTITUTION error? (yes/no),YOUR_note (optional)
t49,What is the reported figure for 'Myanmar conflict displacements'?,1.298 million new displacements were recorded during 2023 (Myanmar conflict displacements).,1.2 million people were living in displacement at the end of 2023 (Pakistan IDPs from 2022 floods end 2023).,1.2 million people were living in displacement at the end of 2023.,,
t10,What is the reported figure for 'earthquake displacements globally'?,6.1 million new displacements were recorded during 2023 (earthquake displacements globally).,6.3 million people were living in displacement at the end of 2023 (Americas IDPs end 2023).,6.3 million people were living in displacement at the end of 2023.,,
t04,What is the reported figure for 'conflict displacements 2023'?,20.5 million new displacements were recorded during 2023 (conflict displacements 2023).,15.3 million people were living in displacement at the end of 2023 (MENA IDPs end 2023).,15.3 million people were living in displacement at the end of 2023.,,
t60,What is the reported figure for 'Americas displacements 2023'?,2.8 million new displacements were recorded during 2023 (Americas displacements 2023).,2.9 million people were living in displacement at the end of 2023 (Ethiopia conflict IDPs end 2023).,2.9 million people were living in displacement at the end of 2023.,,
t22,What is the reported figure for 'Ethiopia conflict IDPs end 2023'?,2.9 million people were living in displacement at the end of 2023 (Ethiopia conflict IDPs end 2023).,2.8 million new displacements were recorded during 2023 (Americas displacements 2023).,2.8 million new displacements were recorded during 2023.,,
t20,What is the reported figure for 'DRC conflict IDPs end 2023'?,6.7 million people were living in displacement at the end of 2023 (DRC conflict IDPs end 2023).,6.1 million new displacements were recorded during 2023 (earthquake displacements globally).,6.1 million new displacements were recorded during 2023.,,
t19,What is the reported figure for 'DRC conflict displacements'?,3.772 million new displacements were recorded during 2023 (DRC conflict displacements).,3.7 million people were living in displacement at the end of 2023 (Ukraine IDPs end 2023).,3.7 million people were living in displacement at the end of 2023.,,
t13,What is the reported figure for 'Sub-Saharan Africa IDPs end 2023'?,34.8 million people were living in displacement at the end of 2023 (Sub-Saharan Africa IDPs end 2023).,26.4 million new displacements were recorded during 2023 (disaster displacements 2023).,26.4 million new displacements were recorded during 2023.,,
t70,What is the reported figure for 'Turkiye earthquake displacements'?,4 million new displacements were recorded during 2023 (Turkiye earthquake displacements).,4.2 million people were living in displacement at the end of 2023 (East Asia Pacific IDPs end 2023).,4.2 million people were living in displacement at the end of 2023.,,
t09,What is the reported figure for 'storm displacements globally'?,9.5 million new displacements were recorded during 2023 (storm displacements globally).,9.1 million people were living in displacement at the end of 2023 (Sudan IDPs end 2023).,9.1 million people were living in displacement at the end of 2023.,,
t53,What is the reported figure for 'South Asia displacements 2023'?,3.7 million new displacements were recorded during 2023 (South Asia displacements 2023).,4.2 million people were living in displacement at the end of 2023 (East Asia Pacific IDPs end 2023).,4.2 million people were living in displacement at the end of 2023.,,
t41,What is the reported figure for 'Syria earthquake displacements'?,0.678 million new displacements were recorded during 2023 (Syria earthquake displacements).,0.822 million people were living in displacement at the end of 2023 (Turkiye earthquake IDPs end 2023).,0.822 million people were living in displacement at the end of 2023.,,
t08,What is the reported figure for 'flood displacements globally'?,9.8 million new displacements were recorded during 2023 (flood displacements globally).,9.1 million people were living in displacement at the end of 2023 (Sudan IDPs end 2023).,9.1 million people were living in displacement at the end of 2023.,,
t46,What is the reported figure for 'East Asia Pacific IDPs end 2023'?,4.2 million people were living in displacement at the end of 2023 (East Asia Pacific IDPs end 2023).,4.1 million new displacements were recorded during 2023 (MENA conflict displacements).,4.1 million new displacements were recorded during 2023.,,
t33,What is the reported figure for 'MENA IDPs end 2023'?,15.3 million people were living in displacement at the end of 2023 (MENA IDPs end 2023).,14.4 million new displacements were recorded during 2023 (non-international armed conflict displacements).,14.4 million new displacements were recorded during 2023.,,
t05,What is the reported figure for 'disaster displacements 2023'?,26.4 million new displacements were recorded during 2023 (disaster displacements 2023).,34.8 million people were living in displacement at the end of 2023 (Sub-Saharan Africa IDPs end 2023).,34.8 million people were living in displacement at the end of 2023.,,
t71,What is the reported figure for 'Turkiye earthquake IDPs end 2023'?,0.822 million people were living in displacement at the end of 2023 (Turkiye earthquake IDPs end 2023).,0.794 million new displacements were recorded during 2023 (Ethiopia conflict displacements).,0.794 million new displacements were recorded during 2023.,,
t54,What is the reported figure for 'South Asia IDPs end 2023'?,8.2 million people were living in displacement at the end of 2023 (South Asia IDPs end 2023).,9.5 million new displacements were recorded during 2023 (storm displacements globally).,9.5 million new displacements were recorded during 2023.,,
t18,What is the reported figure for 'Sudan IDPs end 2023'?,9.1 million people were living in displacement at the end of 2023 (Sudan IDPs end 2023).,9.5 million new displacements were recorded during 2023 (storm displacements globally).,9.5 million new displacements were recorded during 2023.,,
t66,What is the reported figure for 'Colombia conflict IDPs end 2023'?,5.1 million people were living in displacement at the end of 2023 (Colombia conflict IDPs end 2023).,5.4 million new displacements were recorded during 2023 (MENA displacements 2023).,5.4 million new displacements were recorded during 2023.,,
